name,company,city,state,country,address,state_clean
Silicon Valley Data Center,Fibernet,San,California,United States,250 Stockton Ave 95126-2761 San Jose USA,CA
1 First avenue,Cyxtera,Waltham,Massachusetts,United States,1st Ave 1 02451 Waltham United States,MA
1 Summer St.,Zayo Group LLC,Boston,Massachusetts,United States,"1 Summer St, 7th Floor 02110 Boston USA",MA
10 South Canal St.,Brookfield Infrastructure Partners LP,Chicago,Illinois,United States,10 S Canal St 60606-3739 Chicago USA,IL
100 Delawanna Avenue,Digital Realty Trust,Clifton,New Jersey,United States,100 Delawanna Ave 07014 Clifton USA,NJ
1001 Windward Concourse,Mapletree Redwood Data Centre Trust (MRDCT),Alpharetta,Georgia,United States,1001 Windward Concourse 30005-4154 Alpharetta USA,GA
101 Aquila Way,Digital Realty Trust,Austell,Georgia,United States,101 Aquila Way 30168 Austell United States,GA
102 S. Tejon,Data102,Colorado,Colorado,United States,102 S. Tejon 80903 Colorado Springs United States,CO
11 North Pearl,The Heights Real Estate Company,Albany,New York,United States,11 N Pearl St 12207 Albany USA,NY
1100 Empire Central Place,Zayo Group LLC,Dallas,Texas,United States,1100 Empire Central Pl 75247-4306 Dallas USA,TX
1100 White St. SW,Zayo Group LLC,Atlanta,Georgia,United States,1100 White St SW 30310-2636 Atlanta USA,GA
1102 Grand,Netrality,Kansas,Missouri,United States,1102 Grand Blvd 64106 Kansas City USA,MO
11085 Sun Center Drive,Carter Validus Mission Critical REIT,Rancho,California,United States,Sun Center Dr 11085 95670 Rancho Cordova United States,CA
111 8th Avenue,Zayo Group LLC,New,New York,United States,111 8th Avenue 10011 New York United States,NY
111 8th Avenue,Digital Realty Trust,New,New York,United States,"111 8th Ave, Suite 307 10011 New York USA",NY
111 8th Avenue,Equinix,New,New York,United States,111 8th Ave 10011 New York USA,NY
111 Town Square Place,Atlas Communications Ltd.,City,New Jersey,United States,111 Town Square Pl NJ 07310 Jersey City United States,NJ
11191 Victoria Drive,CBRE,Chaska,Minnesota,United States,11191 Victoria Drive 55318 Chaska United States,MN
